adwadi1504,Nashik-sinnar-GP-adwadi
ashapurtembhurwadi1504,Nashik-sinnar-GP-ashapurtembhurwadi
agaskhind1504,Nashik-sinnar-GP-agaskhind
baragoanpimpri1504,Nashik-sinnar-GP-baragoanpimpri
brahmanwade1504,Nashik-sinnar-GP-brahmanwade
belu1504,Nashik-sinnar-GP-belu
bhokani1504,Nashik-sinnar-GP-bhokani
bhatwadi1504,Nashik-sinnar-GP-bhatwadi
chincholi1504,Nashik-sinnar-GP-chincholi
chapadgoan1504,Nashik-sinnar-GP-chapadgoan
chass1504,Nashik-sinnar-GP-chass
deshwandi1504,Nashik-sinnar-GP-deshwandi
dushingpur1504,Nashik-sinnar-GP-dushingpur
dodikhurd1504,Nashik-sinnar-GP-dodikhurd
dodibudruk1504,Nashik-sinnar-GP-dodibudruk
dapur1504,Nashik-sinnar-GP-dapur
devpur1504,Nashik-sinnar-GP-devpur
datali1504,Nashik-sinnar-GP-datali
dharangaon1504,Nashik-sinnar-GP-dharangaon
dhulwad1504,Nashik-sinnar-GP-dhulwad
dhondbar1504,Nashik-sinnar-GP-dhondbar
dhondvirnagar1504,Nashik-sinnar-GP-dhondvirnagar
dubere1504,Nashik-sinnar-GP-dubere
duberewadi1504,Nashik-sinnar-GP-duberewadi 
fardapur1504,Nashik-sinnar-GP-fardapur
gonde1504,Nashik-sinnar-GP-gonde
gulwanch1504,Nashik-sinnar-GP-gulwanch
ghorwad1504,Nashik-sinnar-GP-ghorwad
hivargaon1504,Nashik-sinnar-GP-hivargaon
hivare1504,Nashik-sinnar-GP-hivare
jogaltembhi1504,Nashik-sinnar-GP-jogaltembhi
jaygaon1504,Nashik-sinnar-GP-jaygaon
jamgoan1504,Nashik-sinnar-GP-jamgoan
kasarwadi1504,Nashik-sinnar-GP-kasarwadi
kundewadi1504,Nashik-sinnar-GP-kundewadi
kirtangali1504,Nashik-sinnar-GP-kirtangali
komalwadi1504,Nashik-sinnar-GP-komalwadi
kankori1504,Nashik-sinnar-GP-kankori
konambe1504,Nashik-sinnar-GP-konambe
khambale1504,Nashik-sinnar-GP-khambale
khopadibudruk1504,Nashik-sinnar-GP-khopadibudruk
khadangli1504,Nashik-sinnar-GP-khadangli
lonarwadi1504,Nashik-sinnar-GP-lonarwadi
manegaon1504,Nashik-sinnar-GP-manegaon
marhalbudruk1504,Nashik-sinnar-GP-marhalbudruk
marhalkhurd1504,Nashik-sinnar-GP-marhalkhurd
musalgaon1504,Nashik-sinnar-GP-musalgaon
malegoan1504,Nashik-sinnar-GP-malegoan
mohadari1504,Nashik-sinnar-GP-mohadari
manori1504,Nashik-sinnar-GP-manori
naygoan1504,Nashik-sinnar-GP-naygoan
nalwadi1504,Nashik-sinnar-GP-nalwadi 
nandurshingote1504,Nashik-sinnar-GP-nandurshingote
nimgoansinnar1504,Nashik-sinnar-GP-nimgoansinnar
patole1504,Nashik-sinnar-GP-patole
pandhurli1504,Nashik-sinnar-GP-pandhurli
patpimpri1504,Nashik-sinnar-GP-patpimpri
paste1504,Nashik-sinnar-GP-paste
pangribudruk1504,Nashik-sinnar-GP-pangribudruk
pimple1504,Nashik-sinnar-GP-pimple
padali1504,Nashik-sinnar-GP-padali
panchale1504,Nashik-sinnar-GP-panchale
patharebudruk1504,Nashik-sinnar-GP-patharebudruk
shivade1504,Nashik-sinnar-GP-shivade
sonewadi1504,Nashik-sinnar-GP-sonewadi
somthane1504,Nashik-sinnar-GP-somthane
sangavi1504,Nashik-sinnar-GP-sangavi
sulewadi1504,Nashik-sinnar-GP-sulewadi
sayale1504,Nashik-sinnar-GP-sayale
sonambe1504,Nashik-sinnar-GP-sonambe
sonari1504,Nashik-sinnar-GP-sonari
songiri1504,Nashik-sinnar-GP-songiri
saradwadi1504,Nashik-sinnar-GP-saradwadi
savatamalinagar1504,Nashik-sinnar-GP-savatamalinagar
thangoan1504,Nashik-sinnar-GP-thangoan
vichuridalvi1504,Nashik-sinnar-GP-vichuridalvi
vadzire1504,Nashik-sinnar-GP-vadzire
vadangali1504,Nashik-sinnar-GP-vadangali
wavi1504,Nashik-sinnar-GP-wavi
vadgaon1504,Nashik-sinnar-GP-vadgaon
vadgaonpingala1504,Nashik-sinnar-GP-vadgaonpingala
chichondibu1504,Nashik-yewla-GP-chichondibu
pimpalgaonjalal1504,Nashik-yewla-GP-pimpalgaonjalal
bhatgaon1504,Nashik-yewla-GP-bhatgaon
andarsul1504,Nashik-yewla-GP-andarsul
dongargaon1504,Nashik-yewla-GP-dongargaon
nagarsul1504,Nashik-yewla-GP-nagarsul
gujarkhade1504,Nashik-yewla-GP-gujarkhade
shirasgaonlaukee1504,Nashik-yewla-GP-shirasgaonlaukee
kusmadi1504,Nashik-yewla-GP-kusmadi
mahalkhedapa1504,Nashik-yewla-GP-mahalkhedapa
rajapur1504,Nashik-yewla-GP-rajapur
savargaon1504,Nashik-yewla-GP-savargaon
balhegaon1504,Nashik-yewla-GP-balhegaon
kanadi1504,Nashik-yewla-GP-kanadi
rendale1504,Nashik-yewla-GP-rendale
gavandgaon1504,Nashik-yewla-GP-gavandgaon
satyegaon1504,Nashik-yewla-GP-satyegaon
somthandesh1504,Nashik-yewla-GP-somthandesh
vikharni1504,Nashik-yewla-GP-vikharni
katarni1504,Nashik-yewla-GP-katarni
chichondikh1504,Nashik-yewla-GP-chichondikh
mukhed1504,Nashik-yewla-GP-mukhed
nimgaonmadh1504,Nashik-yewla-GP-nimgaonmadh
satali1504,Nashik-yewla-GP-satali
dhamode1504,Nashik-yewla-GP-dhamode
suregaonraste1504,Nashik-yewla-GP-suregaonraste
dhulgaon1504,Nashik-yewla-GP-dhulgaon
dhamangaon1504,Nashik-yewla-GP-dhamangaon
khirdisathe1504,Nashik-yewla-GP-khirdisathe
manoribk1504,Nashik-yewla-GP-manoribk
kotamgaonbk1504,Nashik-yewla-GP-kotamgaonbk
thangaon1504,Nashik-yewla-GP-thangaon
nandur1504,Nashik-yewla-GP-nandur
devlane1504,Nashik-yewla-GP-devlane
khamgaon1504,Nashik-yewla-GP-khamgaon
nagade1504,Nashik-yewla-GP-nagade
ankai1504,Nashik-yewla-GP-ankai
angulgaon1504,Nashik-yewla-GP-angulgaon
mamdapur1504,Nashik-yewla-GP-mamdapur
bharam1504,Nashik-yewla-GP-bharam
nayghavan1504,Nashik-yewla-GP-nayghavan
devthan1504,Nashik-yewla-GP-devthan
kolgaon1504,Nashik-yewla-GP-kolgaon
pimpalgaonlep1504,Nashik-yewla-GP-pimpalgaonlep
erandgaonbk1504,Nashik-yewla-GP-erandgaonbk
matulthan1504,Nashik-yewla-GP-matulthan
talwade1504,Nashik-yewla-GP-talwade
bhulegaon1504,Nashik-yewla-GP-bhulegaon
angangaon1504,Nashik-yewla-GP-angangaon
kotamgaonkh1504,Nashik-yewla-GP-kotamgaonkh
kusur1504,Nashik-yewla-GP-kusur
ankute1504,Nashik-yewla-GP-ankute
undirwadi1504,Nashik-yewla-GP-undirwadi
deshmane1504,Nashik-yewla-GP-deshmane
pimpri1504,Nashik-yewla-GP-pimpri
patoda1504,Nashik-yewla-GP-patoda
purangaon1504,Nashik-yewla-GP-purangaon
panjarwadi1504,Nashik-yewla-GP-panjarwadi
pareygaon1504,Nashik-yewla-GP-pareygaon
adgaonrhpla1504,Nashik-yewla-GP-adgaonrhpla
visapur1504,Nashik-yewla-GP-visapur
ambahgaon1504,Nashik-yewla-GP-ambahgaon
kharwandi1504,Nashik-yewla-GP-kharwandi
babhulgaon1504,Nashik-yewla-GP-babhulgaon
aherwadi1504,Nashik-yewla-GP-aherwadi
jaulake1504,Nashik-yewla-GP-jaulake
bokate1504,Nashik-yewla-GP-bokate
nilkhade1504,Nashik-yewla-GP-nilkhade
khairgavan1504,Nashik-yewla-GP-khairgavan
aadsuregaon1504,Nashik-yewla-GP-aadsuregaon
kolam1504,Nashik-yewla-GP-kolam
chandgaon1504,Nashik-yewla-GP-chandgaon
nandesar1504,Nashik-yewla-GP-nandesar
ganeshpur1504,Nashik-yewla-GP-ganeshpur
dugalgaon1504,Nashik-yewla-GP-dugalgaon
eaklahra1504,Nashik-nashik-GP-eaklahra
girnare1504,Nashik-nashik-GP-girnare
odha1504,Nashik-nashik-GP-odha
belgoandhaga1504,Nashik-nashik-GP-belgoandhaga
shinde1504,Nashik-nashik-GP-shinde
mahiravni1504,Nashik-nashik-GP-mahiravni
villoli1504,Nashik-nashik-GP-villoli
dari1504,Nashik-nashik-GP-dari
shilapur1504,Nashik-nashik-GP-shilapur
sansari1504,Nashik-nashik-GP-sansari
belatgavan1504,Nashik-nashik-GP-belatgavan
samangoan1504,Nashik-nashik-GP-samangoan
taleoana1504,Nashik-nashik-GP-taleoana
palse1504,Nashik-nashik-GP-palse
vasali1504,Nashik-nashik-GP-vasali
matori1504,Nashik-nashik-GP-matori
nanegoan1504,Nashik-nashik-GP-nanegoan
sarul1504,Nashik-nashik-GP-sarul
vinchurgalvi1504,Nashik-nashik-GP-vinchurgalvi
rahuri1504,Nashik-nashik-GP-rahuri
gowardhan1504,Nashik-nashik-GP-gowardhan
chandshi1504,Nashik-nashik-GP-chandshi
mungsare1504,Nashik-nashik-GP-mungsare
yashwantnagar1504,Nashik-nashik-GP-yashwantnagar
lahavit1504,Nashik-nashik-GP-lahavit
mahadevpur1504,Nashik-nashik-GP-mahadevpur
jalalpur1504,Nashik-nashik-GP-jalalpur
dhondegaon1504,Nashik-nashik-GP-dhondegaon
tiradshet1504,Nashik-nashik-GP-tiradshet
kotamgoan1504,Nashik-nashik-GP-kotamgoan
madsangve1504,Nashik-nashik-GP-madsangve
mahiravni1504,Nashik-nashik-GP-mahiravni
ganeshgoantra1504,Nashik-nashik-GP-ganeshgoantra
lakhalgoan1504,Nashik-nashik-GP-lakhalgoan
hinganvedhe1504,Nashik-nashik-GP-hinganvedhe
